epoch;train_loss;train_accuracy;test_loss;test_accuracy;test_precision;test_recall;test_f1;test_specificity;test_npv;test_fpr;test_fnr;test_mcc;test_tp;test_fp;test_tn;test_fn
0;0.5298905055658475;0.7116168478260869;0.3072858027049473;0.9458999060150376;0.9041896719714193;0.9985652797704447;0.9490369865348559;0.8975220009263548;0.9984542058482545;0.1024779990736452;0.0014347202295552368;0.8993596043369114;8352;885;7751;12
1;0.4831375004007266;0.7497713733277592;0.2585921274652158;0.9460761278195489;0.9035220397579948;0.9998804399808704;0.9492622020431327;0.8965956461324688;0.999870867768595;0.10340435386753126;0.00011956001912960307;0.8999278515314363;8363;893;7743;1
2;0.4672239274035728;0.763266879180602;0.21938015352514453;0.9587640977443609;0.9250165892501659;1.0;0.9610479145122373;0.9214914312181566;1.0;0.07850856878184345;0.0;0.9232523277678063;8364;678;7958;0
3;0.45080002723728935;0.7746132943143813;0.208819341838808;0.964109492481203;0.9344207351133952;1.0;0.9660987583020502;0.9320287169986105;1.0;0.06797128300138953;0.0;0.9332239596606146;8364;587;8049;0
4;0.4311518864488123;0.7893107232441472;0.1772987755449643;0.9659304511278195;0.9376681614349776;1.0;0.96783152048137;0.935618341824919;1.0;0.06438165817508106;0.0;0.9366426908826089;8364;556;8080;0
5;0.41180801653244026;0.8043478260869565;0.18209503770322727;0.9480733082706767;0.906764960971379;1.0;0.9511030247896293;0.9004168596572487;1.0;0.09958314034275127;0.0;0.9035853355411856;8364;860;7776;0
6;0.3953090659451724;0.8152565844481605;0.15060054895965228;0.9636983082706767;0.9337874050915588;0.9998804399808704;0.9657043879907622;0.9313339509031959;0.9998756837394331;0.06866604909680407;0.00011956001912960307;0.9324379360347198;8363;593;8043;1
7;0.38163036362183933;0.8250809991638796;0.13971505335118986;0.9732730263157895;0.9526417893415497;0.9980870396939263;0.9748350557599113;0.9519453450671608;0.9980575452227752;0.04805465493283928;0.001912960306073649;0.9503658011560203;8348;415;8221;16
8;0.36991450358742856;0.8335009928929766;0.15887011699658588;0.9652255639097744;0.943155979990905;0.991869918699187;0.9668997668997669;0.9421028253821213;0.9917113603120429;0.05789717461787865;0.008130081300813009;0.9344199351334166;8296;500;8136;68
9;0.3625483648060357;0.8382564276755853;0.18130352241652353;0.9577067669172933;0.9755643760853386;0.940339550454328;0.9576281504931207;0.9771885132005558;0.9441709554710226;0.022811486799444187;0.05966044954567193;0.9186310346585788;7865;197;8439;499
10;0.35243372883286367;0.845226275083612;0.1442140000347132;0.967516447368421;0.9491000802476213;0.9898373983739838;0.9690407912448059;0.9485873089393237;0.9897305787120938;0.05141269106067624;0.01016260162601626;0.9386276611900111;8279;444;8192;85
11;0.34573131154313136;0.8490933319397993;0.1361705749330664;0.9696311090225563;0.9460500963391136;0.9979674796747967;0.9713155291790305;0.9448818897637795;0.997920997920998;0.05511811023622047;0.0020325203252032522;0.9434100651314831;8347;476;8160;17
12;0.33912347796619136;0.8537377194816054;0.11558335760426253;0.9749765037593985;0.9576914233157048;0.9959349593495935;0.9764388700035166;0.9573876794812413;0.9959046013008913;0.042612320518758684;0.0040650406504065045;0.9534593219252131;8330;368;8268;34
13;0.3354117873570193;0.8565661580267558;0.13262364888717806;0.9718632518796992;0.9594516091553387;0.9873266379722621;0.9731895586588887;0.9595877721167207;0.9873704277374002;0.0404122278832793;0.012673362027737924;0.9468682223644096;8258;349;8287;106
14;0.3315308600988077;0.8585127508361204;0.11437974500476866;0.9779722744360902;0.9621640327604106;0.9972501195600191;0.9793929431104326;0.9620194534506716;0.9972392269835554;0.03798054654932839;0.0027498804399808704;0.9593364140486168;8341;328;8308;23
15;0.3267219251763063;0.8618507002508361;0.13466909754657208;0.9727443609022557;0.9664469036967271;0.9814681970349115;0.9738996322220904;0.9669986104678092;0.9817775687749823;0.03300138953219083;0.018531802965088474;0.9483456322465948;8209;285;8351;155
16;0.3240580664679757;0.8630656877090301;0.1014528964555129;0.9817904135338346;0.9682355668907953;0.9985652797704447;0.9831665685697469;0.9682723483094025;0.9985669930737998;0.0317276516905975;0.0014347202295552368;0.9668200938632241;8352;274;8362;12
17;0.3208582248900048;0.8650253448996655;0.115029040261879;0.978500939849624;0.9656373345716276;0.9945002391200383;0.9798562846036047;0.9657248726262159;0.9945146673026473;0.03427512737378416;0.005499760879961741;0.9601885561144307;8318;296;8340;46
18;0.3180753540708668;0.8670045986622074;0.10480675125088458;0.9842575187969925;0.9768616396523373;0.9943806791009087;0.9855433108188173;0.9771885132005558;0.9944614659439076;0.022811486799444187;0.005619320899091344;0.9714461411565203;8317;197;8439;47
19;0.3150566733601101;0.8687486935618729;0.11866385042947486;0.9632283834586466;0.934019235070454;0.9985652797704447;0.965214376516815;0.9316813339509032;0.9985107967237528;0.06831866604909681;0.0014347202295552368;0.931387622995937;8352;590;8046;12
20;0.31286915658309705;0.870081260451505;0.11121623360909018;0.9672227443609023;0.9406798739306619;0.9991630798660928;0.9690398886827458;0.9389763779527559;0.9991375061606703;0.0610236220472441;0.0008369201339072215;0.938978044156312;8357;527;8109;7
21;0.30975962816472835;0.871498745819398;0.09514394580365572;0.9816729323308271;0.9677942539388322;0.998804399808704;0.9830548364321017;0.9678091709124594;0.9988049713193117;0.03219082908754053;0.0011956001912960307;0.966606397963041;8354;278;8358;10
22;0.3075307140805849;0.8734584030100334;0.11609264239108652;0.977796052631579;0.9673278879813302;0.9911525585844094;0.9790953112082201;0.9675775822139879;0.9912218268090154;0.03242241778601204;0.008847441415590627;0.958639923549615;8290;280;8356;74
23;0.3040860893833996;0.8750653219063546;0.07824643485640224;0.9920112781954887;0.9872461029759093;0.9995217599234816;0.9933460076045626;0.9874942102825383;0.9995311767463666;0.012505789717461788;0.00047824007651841227;0.9868966177479479;8360;108;8528;4
24;0.30220691533292016;0.8766134510869565;0.09327587436296438;0.9861959586466166;0.9796446640781269;0.9954567192730751;0.9874873984463027;0.979967577582214;0.9955299376543936;0.020032422417786012;0.004543280726924916;0.9752994413030698;8326;173;8463;38
25;0.2988350450818156;0.8785535117056856;0.08625678531825542;0.9923637218045113;0.9928383862497016;0.9945002391200383;0.9936686178473301;0.9930523390458545;0.9946648109487358;0.006947660954145438;0.005499760879961741;0.9875278873735055;8318;60;8576;46
26;0.2980491460042454;0.8785992370401338;0.09400493003203905;0.9857260338345865;0.9773766264212871;0.9968914395026304;0.9870375850843446;0.9776516905974988;0.9969299799267918;0.022348309402501158;0.0031085604973696795;0.9744248610476289;8338;193;8443;26
27;0.2956635935674344;0.8802192203177257;0.08219910994228116;0.9938322368421053;0.9945074626865672;0.9958153993304639;0.9951610012545553;0.9946734599351552;0.9959420289855072;0.0053265400648448355;0.004184600669536107;0.9904691752732566;8329;46;8590;35
28;0.29566064003518594;0.8801016408862876;0.06652863827863134;0.995829417293233;0.9963002744957632;0.9980870396939263;0.9971928567162396;0.9964103751736916;0.9981440668135947;0.003589624826308476;0.001912960306073649;0.99447087773443;8348;31;8605;16
29;0.29232872784586256;0.8822833925585284;0.08504035441499007;0.9935385338345865;0.996163989450971;0.9935437589670014;0.9948521489285286;0.9962945808244558;0.9937629937629938;0.0037054191755442334;0.006456241032998565;0.9898826605104649;8310;32;8604;54
30;0.29113582434462865;0.8836094272575251;0.09982803975112904;0.9888392857142857;0.9973307449648143;0.9827833572453372;0.9900036131518729;0.9974525243168133;0.9835578899292076;0.0025474756831866605;0.01721664275466284;0.9805622039114276;8220;22;8614;144
31;0.28923814904480477;0.8836812813545151;0.09661256419704821;0.989015507518797;0.9963684783924465;0.9840985174557628;0.9901954887218045;0.9965261695229273;0.98478086737613;0.003473830477072719;0.015901482544237205;0.980886981294816;8231;30;8606;133
32;0.28823714091576463;0.8846415133779264;0.09932498160497587;0.9895441729323309;0.9987849331713244;0.9827833572453372;0.990719537182114;0.9988420565076425;0.9835803876852908;0.001157943492357573;0.01721664275466284;0.9819952976172815;8220;10;8626;144
33;0.2859331575599203;0.8857846467391305;0.1046109973431978;0.9882518796992481;0.9982960077896786;0.9806312769010043;0.989384800965018;0.9983788791106994;0.9815573770491803;0.001621120889300602;0.019368723098995694;0.9794316796794391;8202;14;8622;162
34;0.2851768369010858;0.8870388273411371;0.0898523838084219;0.9911301691729323;0.9985473913569786;0.9862505978000956;0.992360902255639;0.998610467809171;0.9868405996109395;0.0013895321908290875;0.013749402199904353;0.9851244930582318;8249;12;8624;115
