epoch;train_loss;test_loss;accuracy
0;4.550115597875495;4.831810169794089;0.1296020207744568
1;3.894497057549039;4.146335151681932;0.15358857904329784
2;3.752797061339357;3.9006649861766345;0.1654178405502685
3;3.655588063978611;3.806744025303767;0.17302598176818146
4;3.5756862015652477;3.7364764018202306;0.17848008985918268
5;3.523419281593839;3.687062389475845;0.18390195063294323
6;3.4848715613659165;3.6546257734298706;0.18857875401924426
7;3.442396395188525;3.61907380799386;0.192910050427107
8;3.3970072269439697;3.5828554331259586;0.19584595087103376
9;3.374984934365839;3.559505742529164;0.19799039983435682
10;3.3304845498020486;3.5313820655529318;0.20035526503745774
11;3.2515878578774013;3.474716877458885;0.2048433435086469
12;3.205422932492163;3.4258529976458854;0.2083894322465237
13;3.1505969870359376;3.3862857966120026;0.21398789211547464
14;3.124810224637053;3.354940616964895;0.21651622445735716
15;3.0963357279175208;3.3315364740365325;0.22021515264098807
16;3.0733212810709962;3.309231315169446;0.22424242718327314
17;3.0576868393367396;3.292982832643898;0.22471645569666884
18;3.027275253507428;3.277803375569474;0.23386399162218982
19;3.0235382941432465;3.2624108584030815;0.23369564631379636
20;2.997433514523327;3.2514770712740844;0.23952957825329071
21;2.984199273407011;3.239946108199282;0.24001135088895498
22;2.9789566164626216;3.2294316570894375;0.24304224589937612
23;2.957428336591649;3.218412033690258;0.24830235820963867
24;2.9357722424026718;3.2071140888941327;0.2532911416619344
25;2.935773786297418;3.1977014800776606;0.2504979272309999
26;2.9196153726792873;3.183158059183969;0.2527400447349799
27;2.91197312191913;3.175633790102292;0.25293204384414775
28;2.9015959819456687;3.1651464218279988;0.25524134771492246
29;2.9015622909804035;3.1575967336578112;0.25578356864757107
30;2.8833972094650555;3.147332456598314;0.2569373612453167
31;2.8684565442845336;3.1367593776422202;0.2583356893488339
32;2.8631080290428677;3.1261229507101818;0.2593542907695125
33;2.850346434833412;3.124673319102131;0.2633007197339732
34;2.825158036741099;3.1059628138972766;0.2670777289939106
35;2.826228308050256;3.0925584146410325;0.2606411741528296
36;2.784055671297518;3.0747634575119784;0.2692801904185374
37;2.7694245729231297;3.053866431864608;0.264979325514987
38;2.743472573452426;3.0379878788887456;0.2651549075218968
39;2.7012595184763573;3.0128598177313406;0.26277224405815724
40;2.609683784775268;2.959173714436815;0.2693935127410674
41;2.54091771652824;2.9065546407348735;0.2822503728750057
42;2.497221074606243;2.8635947038497416;0.2854648323211455
43;2.4895012974739075;2.8260838666488493;0.2712210991552898
44;2.4169911137200835;2.793956367068466;0.29778323552214114
45;2.401067295020684;2.7684784386070276;0.296533874775234
46;2.373861533358581;2.746533682513795;0.30100870210873454
47;2.3362917008256554;2.727242508859539;0.3193257995566031
48;2.3210975931103066;2.7118831211109224;0.3172368457666913
49;2.3089171459800317;2.6955645574773834;0.31971570614137146
