epoch;train_loss;train_accuracy;test_loss;test_accuracy;test_precision;test_recall;test_f1;test_specificity;test_npv;test_fpr;test_fnr;test_mcc;test_tp;test_fp;test_tn;test_fn
20;0.34894041551345567;0.8468201295986622;0.12441107767977212;0.9844924812030075;0.999753937007874;0.9715447154471545;0.9854474896919718;0.9997684113015285;0.9731740306582507;0.0002315886984715146;0.028455284552845527;0.9721202118951262;8126;2;8634;238
21;0.3461729529808995;0.8493742161371237;0.09842288510915928;0.9937734962406015;0.9989156626506024;0.991272118603539;0.9950792126740279;0.9989578508568782;0.9916091954022989;0.0010421491431218156;0.008727881396461024;0.990377402781136;8291;9;8627;73
22;0.34069147601374816;0.8530779682274248;0.11236103315998737;0.9822603383458647;0.999629263470094;0.9671209947393592;0.9831064657267866;0.9996526169522927;0.969128872923215;0.0003473830477072719;0.032879005260640845;0.9677653653529006;8089;3;8633;275
23;0.33827470993018866;0.8536136078595318;0.08003171376491848;0.9947133458646616;0.9985580389329488;0.9935437589670014;0.996044588277598;0.998610467809171;0.993777368057156;0.0013895321908290875;0.006456241032998565;0.9922448127477844;8310;12;8624;54
24;0.33317759712802925;0.8575067934782609;0.10891909715264364;0.988016917293233;0.99951171875;0.9789574366331899;0.9891278086494323;0.999536822603057;0.9800181653042689;0.0004631773969430292;0.021042563366810138;0.9790119347063388;8188;4;8632;176
25;0.33076532413080384;0.8588589569397993;0.09006344707668724;0.9928923872180451;0.9995166163141994;0.9888809182209469;0.9941703227357414;0.999536822603057;0.9893409742120344;0.0004631773969430292;0.011119081779053085;0.9886376412137099;8271;4;8632;93
26;0.32704718244015973;0.86125627090301;0.10861750809769881;0.987546992481203;0.9995112414467253;0.9780009564801531;0.9886391104665216;0.999536822603057;0.9791288566243194;0.0004631773969430292;0.021999043519846963;0.9780887832861308;8180;4;8632;184
27;0.3239522550292438;0.8629023829431438;0.10710276175934569;0.9864309210526315;0.9992655159750276;0.9759684361549498;0.9874795862819814;0.9993052339045855;0.9772392707507643;0.0006947660954145438;0.024031563845050216;0.9758890342558251;8163;6;8630;201
28;0.3207290468357478;0.8649796195652174;0.09246757314225337;0.9931860902255639;0.9987940183309214;0.9901960784313726;0.99447646493756;0.9988420565076425;0.9905833716123105;0.001157943492357573;0.00980392156862745;0.9892077478974194;8282;10;8626;82
29;0.3189207100399761;0.866305654264214;0.09048909285014733;0.9934797932330827;0.9990353310020499;0.9905547584887614;0.9947769706429729;0.999073645206114;0.9909268404731825;0.0009263547938860583;0.009445241511238642;0.9897952735163705;8285;8;8628;79
30;0.3154893611685488;0.8680889423076923;0.07926744071388603;0.9920112781954887;0.9992739593417231;0.9873266379722621;0.9932643733461631;0.9993052339045855;0.9878663003663004;0.0006947660954145438;0.012673362027737924;0.9868860330558563;8258;6;8630;106
31;0.3118798700239148;0.8703752090301003;0.08877773961066303;0.9928923872180451;0.999395916394829;0.9890004782400765;0.9941710233759992;0.9994210282538212;0.9894531697810386;0.0005789717461787865;0.010999521759923482;0.9886352732191307;8272;5;8631;92
32;0.3095442449244169;0.8714595526755853;0.08634573730983232;0.9925399436090225;0.9996371114067981;0.9880439980870397;0.993806746437376;0.9996526169522927;0.9885491812664605;0.0003473830477072719;0.011956001912960305;0.9879414235174293;8264;3;8633;100
33;0.3068262320697108;0.8730207462374582;0.08057692735210846;0.9926574248120301;0.9991542829527607;0.9887613582018173;0.9939306532059371;0.9991894395553497;0.9892238908632351;0.000810560444650301;0.011238641798182687;0.9881644626818377;8270;7;8629;94
34;0.3039435760856273;0.8748040342809364;0.08829890148139986;0.9901315789473685;0.9995138551288284;0.9832615973218556;0.991321118611379;0.999536822603057;0.9840401276789785;0.0004631773969430292;0.01673840267814443;0.9831761287858688;8224;4;8632;140
