0;5.009532;4.896882;0.0952
1;4.850021;4.819852;0.1105
2;4.826890;4.818490;0.1105
3;4.819668;4.807813;0.1113
4;4.814801;4.808711;0.1113
5;4.810181;4.803165;0.1123
6;4.806765;4.809344;0.1121
7;4.798200;4.797396;0.1125
8;4.789610;4.793505;0.1135
9;4.777509;4.796240;0.1133
10;4.768480;4.801222;0.1122
11;4.764214;4.778499;0.1144
12;4.760982;4.887088;0.1070
13;4.757485;4.770582;0.1151
14;4.750362;4.763417;0.1153
15;4.747034;4.760125;0.1156
16;4.743503;4.758731;0.1156
17;4.740106;4.759258;0.1156
18;4.738241;4.758412;0.1156
19;4.736510;4.757985;0.1157
20;4.734820;4.758120;0.1157
21;4.733150;4.757850;0.1157
22;4.731520;4.759010;0.1157
23;4.730100;4.758220;0.1157
24;4.728750;4.758440;0.1158
25;4.727420;4.759150;0.1158
26;4.726100;4.758650;0.1158
27;4.724850;4.758920;0.1158
28;4.723600;4.760110;0.1157
29;4.722400;4.758450;0.1158
30;4.721250;4.758210;0.1158
31;4.720120;4.758880;0.1158
32;4.719050;4.759320;0.1158
33;4.718010;4.758150;0.1158
34;4.717020;4.757950;0.1158
35;4.716050;4.758410;0.1158
36;4.715120;4.759220;0.1158
37;4.714210;4.758550;0.1158
38;4.713350;4.758120;0.1158
39;4.712500;4.758330;0.1158
40;4.711680;4.759050;0.1158
41;4.710890;4.758220;0.1158
42;4.710120;4.758110;0.1158
43;4.709380;4.758950;0.1158
44;4.708650;4.758420;0.1158
45;4.707950;4.758120;0.1158
46;4.707280;4.757850;0.1158
47;4.706620;4.758320;0.1158
48;4.705990;4.759010;0.1158
49;4.705380;4.758550;0.1158
50;4.704780;4.758210;0.1158
