epoch;train_loss;train_accuracy;test_loss;test_accuracy;test_precision;test_recall;test_f1;test_specificity;test_npv;test_fpr;test_fnr;test_mcc;test_tp;test_fp;test_tn;test_fn
0;0.569074974435827;0.6844233382107023;0.4330230818543219;0.7923519736842105;0.7043712625284259;0.9998804399808704;0.8265059050254485;0.5935618341824919;0.9998049541642285;0.4064381658175081;0.00011956001912960307;0.6464425229251565;8363;3510;5126;1
1;0.5221187146411692;0.7226170568561873;0.39970878248376057;0.8069783834586466;0.7194219852055738;1.0;0.8368184092046024;0.6222788327929597;1.0;0.3777211672070403;0.0;0.6690897348183712;8364;3262;5374;0
2;0.5016279331716805;0.7390585806856187;0.37783623579189296;0.801750469924812;0.7139564660691421;1.0;0.833109218586583;0.6119731357109773;1.0;0.3880268642890227;0.0;0.6610008905451346;8364;3351;5285;0
3;0.48704845737354413;0.7516722408026756;0.3659901169681908;0.8118538533834586;0.7245949926362297;1.0;0.8403074295473953;0.6318897637795275;1.0;0.36811023622047245;0.0;0.6766566032580601;8364;3179;5457;0
4;0.4729801043120515;0.7637698578595318;0.3459541261252156;0.8357025375939849;0.7510101463589836;1.0;0.8578021639915901;0.678902269569245;1.0;0.32109773043075496;0.0;0.7140465620900677;8364;2773;5863;0
5;0.4624401615764385;0.7716934051003345;0.34610948403526964;0.8205474624060151;0.7340061430451953;1.0;0.8466015486613696;0.6490273274664197;1.0;0.3509726725335804;0.0;0.6902101457994931;8364;3031;5605;0
6;0.4505775245934426;0.7819685409698997;0.3259775615052173;0.8541470864661654;0.7727986695001386;1.0;0.8718403085422421;0.7152616952292729;1.0;0.2847383047707272;0.0;0.7434737967256113;8364;2459;6177;0
7;0.43956540634600216;0.7892323369565217;0.31415613721075814;0.8475681390977443;0.7648834019204389;1.0;0.8667806622104772;0.702292728114868;1.0;0.297707271885132;0.0;0.7329202214596663;8364;2571;6065;0
8;0.4291111436177257;0.796875;0.31283504473871754;0.8520324248120301;0.7702366700432821;1.0;0.8702075638557978;0.7110930986567855;1.0;0.28890690134321445;0.0;0.7400743073503914;8364;2495;6141;0
9;0.420218444339009;0.8015128553511706;0.3121993606700037;0.8561442669172933;0.7752340346649365;1.0;0.8733879809951444;0.7191987031032886;1.0;0.28080129689671146;0.0;0.7466909081625088;8364;2425;6211;0
10;0.41232085065997165;0.8071697324414716;0.3027692132146287;0.8591987781954887;0.7789885442861134;1.0;0.8757656667190199;0.7252200092635479;1.0;0.27477999073645204;0.0;0.7516236287553585;8364;2373;6263;0
11;0.4060162966416831;0.8115854933110368;0.30068065696641016;0.8560855263157895;0.77516218721038;1.0;0.8733423827921061;0.7190829087540528;1.0;0.2809170912459472;0.0;0.7465961963038613;8364;2426;6210;0
12;0.39708789248629955;0.8178302675585284;0.279008040694814;0.885984492481203;0.8135395389553546;1.0;0.897184231697506;0.7780222325150533;1.0;0.22197776748494674;0.0;0.7955827099285857;8364;1917;6719;0
13;0.3888191051382484;0.8229711015886287;0.2716354088283571;0.8836348684210527;0.8103865904466622;1.0;0.8952635804120953;0.7733904585456229;1.0;0.22660954145437703;0.0;0.7916724428605356;8364;1957;6679;0
14;0.38221011447866626;0.8275958925585284;0.25944023405698907;0.8999060150375939;0.8328022306313483;0.9998804399808704;0.9087254156253395;0.8055812876331635;0.9998562805403852;0.1944187123668365;0.00011956001912960307;0.8189472284103011;8363;1679;6957;1
15;0.37817207169423134;0.8303982023411371;0.26302781080673066;0.8901550751879699;0.8191968658178257;1.0;0.9006137611715301;0.786243631310792;1.0;0.21375636868920797;0.0;0.8025511314171995;8364;1846;6790;0
16;0.37516306153806955;0.8327236622073578;0.2480545679905585;0.9040765977443609;0.8387323237388427;0.9998804399808704;0.9122443414235069;0.8138026864289023;0.9998577322520984;0.18619731357109773;0.00011956001912960307;0.8260427219792299;8363;1608;7028;1
17;0.37135677694975333;0.8364666074414716;0.24326119597132942;0.9076010338345865;0.8437405427216786;1.0;0.9152486731958199;0.8206345530338119;1.0;0.17936544696618806;0.0;0.8321073507384192;8364;1549;7087;0
18;0.3668563906913218;0.8383870714882943;0.2329290024376005;0.9138275375939849;0.8532203735837501;0.999402199904352;0.9205440229062277;0.833487725798981;0.9993058447868943;0.166512274201019;0.0005978000956480153;0.8426508759141412;8359;1438;7198;5
